,index,id,amount_tsh,date_recorded,funder,gps_height,installer,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,latitude,longitude
11,326,7900,0.0,2011-07-18,Government Of Tanzania,0,Government,Hospital,0,Lake Victoria,Nyanza,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Kalangalala,True,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,-2.3260779,31.858254294902203
12,346,32089,0.0,2012-10-29,Government Of Tanzania,0,DWE,Igunabarui,0,Lake Victoria,Mang'Ada,Shinyanga,17,1,Bariadi,Chinamili,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
13,370,59310,0.0,2011-07-18,Government Of Tanzania,0,Government,Nesrsing College,0,Lake Victoria,Nyanza,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Kalangalala,True,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,-2.3260779,31.858254294902203
14,433,51220,0.0,2012-10-21,Wsdp,0,DWE,Nguvukazi,0,Lake Victoria,Mbugani,Shinyanga,17,1,Bariadi,Mwaubingi,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
15,659,20625,0.0,2013-02-10,Dwsp,0,DWE,Yinza,0,Lake Victoria,Mbugani,Shinyanga,17,1,Bariadi,Mhango,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
16,678,27128,0.0,2012-10-04,Government Of Tanzania,0,Government,Hospitalini Nyaluhande,0,Lake Victoria,Nyasubi,Mwanza,19,2,Magu,Nyaluhande,0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,-17.8092173,-63.3387606
17,697,19409,0.0,2013-02-10,Lwi,0,LWI,Mwabalimi,0,Lake Victoria,Mwabalimi,Shinyanga,17,1,Bariadi,Ikungulyabashashi,0,,GeoData Consultants Ltd,WUG,,False,0,india mark ii,india mark ii,handpump,wug,user-group,unknown,unknown,salty abandoned,salty,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
18,720,38537,0.0,2012-10-24,Dwsp,0,DWE,Ujirani Mwema,0,Lake Victoria,Mwamabu B,Shinyanga,17,1,Bariadi,Nyakabindi,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
19,733,36267,0.0,2013-01-23,Wsdp,0,DWE,Maendeleo,0,Lake Victoria,Gibise,Shinyanga,17,1,Bariadi,Dutwa,0,False,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
20,753,17287,0.0,2012-10-26,Government Of Tanzania,0,Government,Hospitalini Nyashimo,0,Lake Victoria,Nyashimo,Mwanza,19,2,Magu,Kabita,0,True,GeoData Consultants Ltd,Parastatal,,True,0,mono,mono,motorpump,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,-17.8092173,-63.3387606
21,755,27799,0.0,2012-10-22,Government Of Tanzania,0,DWE,Imbambasi,0,Lake Victoria,Imbambasi,Shinyanga,17,1,Bariadi,Nkololo,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
22,798,51820,0.0,2013-02-09,Dwsp,0,DWE,Songambele,0,Lake Victoria,Zagana,Shinyanga,17,1,Bariadi,Gamboshi,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
23,839,41985,0.0,2013-02-16,Rwssp,0,DWE,Furaha,0,Lake Victoria,Nyaniga,Shinyanga,17,1,Bariadi,Nyakabindi,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
24,911,10085,0.0,2013-01-30,Wvt,0,WVT,Wvt Tanzania,0,Lake Victoria,Ilula,Shinyanga,17,1,Bariadi,Chinamili,0,False,GeoData Consultants Ltd,Parastatal,,False,0,swn 80,swn 80,handpump,parastatal,parastatal,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
25,939,32543,0.0,2011-07-24,Wsdp,0,DWE,Tusongembele,0,Lake Victoria,Mwabadimu,Shinyanga,17,1,Bariadi,Mwaswale,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
26,960,32952,0.0,2013-02-19,Sdg,0,DWE,Shule Ya Sekondari Chenge,0,Lake Victoria,Izunya,Shinyanga,17,1,Bariadi,Somanda,0,True,GeoData Consultants Ltd,Parastatal,,False,0,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,-2.6726957000000002,34.435503984842775
27,965,46510,0.0,2011-08-22,Government Of Tanzania,0,DWE,Hamadi,0,Lake Victoria,K/Center,Mwanza,19,6,Geita,Katoro,0,True,GeoData Consultants Ltd,VWC,Katoro,True,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,-2.3260779,31.858254294902203
28,971,15306,0.0,2013-01-26,Dwsp,0,DWE,Moma,0,Lake Victoria,Birubiru,Shinyanga,17,1,Bariadi,Lugulu,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
29,992,1678,0.0,2013-01-26,Wsdp,0,DWE,Muungano,0,Lake Victoria,Mwamasasi,Shinyanga,17,1,Bariadi,Bunamhala,0,True,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,pay monthly,monthly,salty abandoned,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
30,1054,15529,0.0,2013-02-04,Rwssp,0,DWE,Mama Huruma,0,Lake Victoria,Badagi,Shinyanga,17,1,Bariadi,Nkololo,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
31,1079,38563,0.0,2012-10-26,Wamarekani,0,Maswi company,Kwa Nduta,0,Lake Victoria,Mwabayanda,Mwanza,19,2,Magu,Kalemela,0,True,GeoData Consultants Ltd,VWC,,True,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,dry,dry,machine dbh,borehole,groundwater,hand pump,hand pump,-17.8092173,-63.3387606
32,1122,47134,0.0,2011-07-19,Plan International,0,Plan Internationa,Frunsis,0,Lake Victoria,Elimu,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
33,1168,53697,0.0,2013-01-30,Dasp,0,DARDO,Njia Panda,0,Lake Victoria,Kabasonge,Shinyanga,17,1,Bariadi,Sakwe,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
34,1191,69542,0.0,2011-08-04,Hesawa,0,DWE,Manyabili,0,Lake Victoria,Ngwelo,Mwanza,19,6,Geita,Busolwa,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
35,1208,11416,0.0,2012-10-26,Dwsp,0,DWE,none,0,Lake Victoria,Ikungulyambeshi,Shinyanga,17,1,Bariadi,Kasoli,0,,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,-2.6726957000000002,34.435503984842775
36,1217,5291,0.0,2012-10-25,Jimbo Fund,0,Government,Hospitalini Nyamikoma,0,Lake Victoria,Nyamikoma C,Mwanza,19,2,Magu,Kabita,0,True,GeoData Consultants Ltd,VWC,,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,-17.8092173,-63.3387606
37,1240,5589,0.0,2013-02-15,Dwsp,0,DWE,Maendeleo,0,Lake Victoria,Bipihai,Shinyanga,17,1,Bariadi,Somanda,0,False,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,other,other,-2.6726957000000002,34.435503984842775
38,1250,53761,0.0,2011-07-27,Government Of Tanzania,0,,Ibisabageni Primary,0,Lake Victoria,Beda B,Mwanza,19,6,Geita,Lubanga,0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,-2.3260779,31.858254294902203
39,1252,50957,0.0,2013-02-16,Dwsp,0,DWE,Amani,0,Lake Victoria,Mkomelo,Shinyanga,17,1,Bariadi,Nyakabindi,0,False,GeoData Consultants Ltd,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
40,1303,10465,0.0,2012-11-04,Aict,0,AICT,School,0,Lake Victoria,Shuleni,Mwanza,19,2,Magu,Mkula,0,True,GeoData Consultants Ltd,,,True,0,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,-17.8092173,-63.3387606
41,1333,40563,0.0,2013-01-28,Dwsp,0,DWE,Mshikamano,0,Lake Victoria,Nsalala,Shinyanga,17,1,Bariadi,Nkoma,0,False,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
42,1334,50709,0.0,2013-02-19,Rwssp,0,DWE,Mkombozi,0,Lake Victoria,Songambele,Shinyanga,17,1,Bariadi,Somanda,0,True,GeoData Consultants Ltd,WUG,,False,0,afridev,afridev,handpump,wug,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
43,1424,32528,0.0,2011-08-05,Hesawa,0,DWE,Mbugani,0,Lake Victoria,Isengwa,Mwanza,19,6,Geita,Nyang'hwale,0,True,GeoData Consultants Ltd,VWC,,True,0,swn 80,swn 80,handpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
44,1449,18382,0.0,2013-01-26,Dwsp,0,DWE,Mkombozi,0,Lake Victoria,Kidalimanda B,Shinyanga,17,1,Bariadi,Lugulu,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
45,1454,55650,0.0,2011-07-27,Rwssp,0,DWE,Ukweli,0,Lake Victoria,Nding'Ho A,Shinyanga,17,1,Bariadi,Mwaswale,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
46,1463,53537,0.0,2011-08-13,Hesawa,0,DWE,Pampam,0,Lake Tanganyika,Someli,Mwanza,19,6,Geita,Nyamalimbe,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
47,1502,69773,0.0,2012-11-06,Hesawa,0,DWE,Kwainoni,0,Lake Victoria,Bulolambeshi,Mwanza,19,2,Magu,Igalukilo,0,True,GeoData Consultants Ltd,,,True,0,other,other,other,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,-17.8092173,-63.3387606
48,1525,34162,0.0,2012-10-29,Holland,0,HOLLAND,Tegemeo,0,Lake Victoria,Nyawa,Shinyanga,17,1,Bariadi,Bumera,0,False,GeoData Consultants Ltd,VWC,,False,0,other,other,other,vwc,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
49,1549,56074,0.0,2011-08-11,Hesawa,0,Hesawa,Mahakamani,0,Lake Tanganyika,Balazani,Mwanza,19,6,Geita,Mwingiro,0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,-2.3260779,31.858254294902203
50,1561,42684,0.0,2011-08-01,Hesawa,0,Hesawa,Kapagara,0,Lake Victoria,Mwanza,Mwanza,19,6,Geita,Nyang'hwale,0,True,GeoData Consultants Ltd,VWC,,True,0,swn 80,swn 80,handpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
51,1571,36481,0.0,2013-02-10,Lwi,0,LWI,Madukani,0,Lake Victoria,Madukani,Shinyanga,17,1,Bariadi,Ikungulyabashashi,0,,GeoData Consultants Ltd,WUG,,False,0,india mark ii,india mark ii,handpump,wug,user-group,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
52,1600,60941,0.0,2011-07-18,Hesawa,0,DWE,Bank,0,Lake Victoria,Nyanza,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,,True,0,swn 80,swn 80,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
53,1606,73565,0.0,2013-02-10,Dwsp,0,DWE,Wakulangalanga,0,Lake Victoria,Zagana,Shinyanga,17,1,Bariadi,Gamboshi,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
54,1611,38862,0.0,2012-10-21,Dwssp,0,DWE,Sanga,0,Lake Victoria,Sanga,Shinyanga,17,1,Bariadi,Mwadobana,0,False,GeoData Consultants Ltd,Parastatal,,False,0,swn 80,swn 80,handpump,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
55,1669,49547,0.0,2013-02-01,Wsdp,0,DWE,Serengeti,0,Lake Victoria,Guya A,Shinyanga,17,1,Bariadi,Nkololo,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
56,1699,16040,0.0,2012-10-30,Rwssp,0,DWE,Mizalelo,0,Lake Victoria,Igatwa,Shinyanga,17,1,Bariadi,Bumera,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
57,1738,28287,0.0,2013-01-29,Pmo,0,DWE,Waumini,0,Lake Victoria,Mwankima,Shinyanga,17,1,Bariadi,Lagangabilili,0,False,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
58,1810,69187,0.0,2011-08-04,Hesawa,0,DWE,William,0,Lake Victoria,Inghwero,Mwanza,19,6,Geita,Busolwa,0,True,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,other,other,-2.3260779,31.858254294902203
59,1830,55430,0.0,2011-07-18,Hesawa,0,DWE,Polisi,0,Lake Victoria,Lwenge,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,other,other,other,vwc,user-group,never pay,never pay,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,other,other,-2.3260779,31.858254294902203
60,1847,13157,0.0,2013-01-30,Dwsp,0,DWE,Nanga,0,Lake Victoria,Mango,Shinyanga,17,1,Bariadi,Sakwe,0,,GeoData Consultants Ltd,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
61,1873,65190,0.0,2011-07-19,Plan International,0,Plan Internationa,Nuhi,0,Lake Victoria,Isenyi,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
62,1918,15239,0.0,2011-07-23,Government Of Tanzania,0,Government,John,0,Lake Victoria,Mission,Mwanza,19,6,Geita,Nzera,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
63,1930,33862,0.0,2011-07-29,Hesawa,0,DWE,Nkoba,0,Lake Victoria,Kakola,Mwanza,19,6,Geita,Kasamwa,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
64,1936,73660,0.0,2011-08-16,Tasaf,0,TASAF,James,0,Lake Tanganyika,Ziwani,Mwanza,19,6,Geita,Bukoli,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,india mark ii,india mark ii,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
65,1937,36984,0.0,2013-01-21,Dwsp,0,DWE,Makondeka,0,Lake Victoria,Tasafu,Shinyanga,17,1,Bariadi,Mwamapalala,0,False,GeoData Consultants Ltd,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
66,1966,66636,0.0,2012-10-24,Dwsp,0,DWE,Mawemiru,0,Lake Victoria,Ngwamang'Wadi,Shinyanga,17,1,Bariadi,Ikungulyabashashi,0,False,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,-2.6726957000000002,34.435503984842775
67,1969,37854,0.0,2013-01-28,Dwsp,0,DWE,Jitegemee,0,Lake Victoria,Mwalushu A,Shinyanga,17,1,Bariadi,Nkoma,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
68,1989,25510,0.0,2013-01-20,Dwsp,0,DWE,Manonga,0,Lake Victoria,Kimari,Shinyanga,17,1,Bariadi,Mwamapalala,0,True,GeoData Consultants Ltd,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
69,2001,71699,0.0,2012-10-23,Dwssp,0,DWE,Magunano,0,Lake Victoria,Mwababuli,Shinyanga,17,1,Bariadi,Mwadobana,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
70,2033,24714,0.0,2012-10-24,Hesawa,0,DWE,Kwa Katemi,0,Lake Victoria,Kanyambogo,Mwanza,19,2,Magu,Mwananyili,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-17.8092173,-63.3387606
71,2058,9124,0.0,2013-01-27,Dwsp,0,DWE,Liambilo,0,Lake Victoria,Mwabuzabuziku,Shinyanga,17,1,Bariadi,Nkoma,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
